N,cor_xm,rel,gamma_xm,raw_bias.reg_yint_est,method,par,convergence_rate,coverage,MAD,MeanSE,MedianSE,outlier_se,power,power_lrt,raw_bias,raw_rse_bias,rmse,SD,std_bias,stdMed_bias,stdMed_rse_bias,trim_bias,trim_rse_bias,type1,type1_lrt,REPLICATIONS,N_lab,gammaint_lab,cor_xm_lab,rel_lab
100,0,0.7,0.3,-0.09181435165691824,rapi,yint,1,0.9645,0.20257778567599277,0.48580064732353867,0.20671456953570716,9.950000000000001,0.22850000000000004,0.32799999999999996,0.09782175796831812,0.07404051114463628,0.4626578705043707,0.4523112883384694,0.21627087470591055,0.22496434402070678,0.020420718125188975,0.04974067070282362,-0.5062099492697706,0.2285,0.328,2000,italic(N) == 100,\beta_{xm} == 0.3,corr[XM] == 0,rho == 0.7
100,0,0.7,0.3,-0.09181435165691824,reg,yint,1,0.803,0.09916193087326944,0.08817021955701711,0.08853110181196158,1.2,0.6345000000000001,0.6234999999999999,NA,-0.1318018837144177,0.13688762044424752,0.10155541448792395,-0.9040813049690816,-0.9104824596557184,-0.10720675734818264,-0.09015045796861379,-0.1285376842654441,0.6345,0.6235,2000,italic(N) == 100,\beta_{xm} == 0.3,corr[XM] == 0,rho == 0.7
100,0,0.7,0.3,-0.09181435165691824,tspa,yint,1,0.9385,0.17440526381160676,0.21589800769060274,0.1556074504912173,7.3999999999999995,0.47150000000000003,0.5035000000000001,0.03445853262771446,-0.18587710735309626,0.26735455323807217,0.265190930804891,0.12993857868037978,0.05724825258114129,-0.10778237370573251,0.009966509635202903,-0.3947053392509141,0.4715,0.5035,2000,italic(N) == 100,\beta_{xm} == 0.3,corr[XM] == 0,rho == 0.7
100,0,0.7,0.3,-0.09181435165691824,upi,yint,1,0.874,0.21631971075100292,1.1703697641752069,0.19343596877866137,8.6,0.14149999999999996,0.254,0.028166923493040594,1.1609691562174431,0.5421915655121038,0.5415948491480648,0.052007369599891,-0.09279758376724478,-0.10578667053915458,-0.012644358183091953,-0.6243966407968398,0.1415,0.254,2000,italic(N) == 100,\beta_{xm} == 0.3,corr[XM] == 0,rho == 0.7
100,0,0.8,0.3,-0.06716483517691142,rapi,yint,1,0.964,0.14609597556842613,0.17794455273718554,0.14540064466982544,6.4,0.548,0.6315,0.025386694748386632,0.0035602419283549125,0.17907752961990367,0.1773132745825628,0.14317424799780432,0.0882845620791494,-0.0047594117216118725,0.012758280991009119,-0.16207386130382673,0.548,0.6315,2000,italic(N) == 100,\beta_{xm} == 0.3,corr[XM] == 0,rho == 0.8
100,0,0.8,0.3,-0.06716483517691142,reg,yint,1,0.862,0.09831565276806557,0.08607481577227591,0.08642690724756294,0.95,0.7304999999999999,0.7155,NA,-0.09456414411639757,0.11637807986297094,0.09506450977499303,-0.706518503444482,-0.6786114794362603,-0.12092423928211238,-0.06608668821456953,-0.09177160538103601,0.7305,0.7155,2000,italic(N) == 100,\beta_{xm} == 0.3,corr[XM] == 0,rho == 0.8
100,0,0.8,0.3,-0.06716483517691142,tspa,yint,1,0.94,0.131383767468922,0.1334592497294483,0.12509768050677145,4.55,0.6505000000000001,0.671,0.003939852148664448,-0.06717889113028963,0.14308905075767922,0.14307057211769092,0.02753782339965401,-0.04130692660022628,-0.04784523296332999,-0.0039687713966989335,-0.11388416466390994,0.6505,0.671,2000,italic(N) == 100,\beta_{xm} == 0.3,corr[XM] == 0,rho == 0.8
100,0,0.8,0.3,-0.06716483517691142,upi,yint,1,0.9225,0.15727109288621816,0.19490353385776055,0.14591015693687948,6.15,0.5,0.5615,0.013282522590078128,-0.15966891048131326,0.2322587209851301,0.23193659771578212,0.05726790304285949,-0.07238216797248852,-0.07223791569603988,-0.008597541600265934,-0.35714360448581295,0.5,0.5615,2000,italic(N) == 100,\beta_{xm} == 0.3,corr[XM] == 0,rho == 0.8
100,0,0.9,0.3,-0.0361645906525267,rapi,yint,1,0.9545,0.1082570601913372,0.11675042264001402,0.11406241246680135,2.1,0.7835,0.8109999999999999,0.005803423705578236,0.01726209916813848,0.11488723925750108,0.11476926421960099,0.05056600950646413,-0.009274595308678973,0.053625622801908523,0.001779248353422358,-0.003536184148865029,0.7835,0.811,2000,italic(N) == 100,\beta_{xm} == 0.3,corr[XM] == 0,rho == 0.9
100,0,0.9,0.3,-0.0361645906525267,reg,yint,1,0.905,0.09503997881032471,0.08336023587030637,0.08361837161478708,0.6,0.833,0.825,NA,-0.10289698828409677,0.09968942673667636,0.09292158735579532,-0.3891947143999277,-0.3927569145043601,-0.1201768701814655,-0.03493613949337493,-0.10084200424082124,0.833,0.825,2000,italic(N) == 100,\beta_{xm} == 0.3,corr[XM] == 0,rho == 0.9
100,0,0.9,0.3,-0.0361645906525267,tspa,yint,1,0.9465,0.10773483497150857,0.10805710192468262,0.10656717616224447,1.8499999999999999,0.7995,0.8125,-5.454953326872106e-4,-0.03578595534427975,0.11204085367573904,0.11206754612588661,-0.004867558464021846,-0.050176724627688275,-0.010838266096317883,-0.0034692216348303218,-0.048124786296050215,0.7995,0.8125,2000,italic(N) == 100,\beta_{xm} == 0.3,corr[XM] == 0,rho == 0.9
100,0,0.9,0.3,-0.0361645906525267,upi,yint,1,0.9395,0.1155449005046984,0.11814022222132135,0.11314758090845072,3.45,0.7805,0.8045,0.004079647804538669,-0.0749999490519544,0.1277523747507537,0.12771915212354612,0.03194233391552996,-0.052762894845462864,-0.02074794807712177,-0.0043848140449233575,-0.10853910227412555,0.7805,0.8045,2000,italic(N) == 100,\beta_{xm} == 0.3,corr[XM] == 0,rho == 0.9
100,0.3,0.7,0.3,-0.08202748408353211,rapi,yint,1,0.971,0.172487159446568,0.3956701576021553,0.19211542561901995,10.7,0.28600000000000003,0.392,0.06866448165620555,0.12609169587955726,0.35792602228814524,0.3513658426307006,0.19542161851052386,0.2248235955730452,0.11379552098504053,0.04012486474394822,-0.42369832067501456,0.286,0.392,2000,italic(N) == 100,\beta_{xm} == 0.3,corr[XM] == 0.3,rho == 0.7
100,0.3,0.7,0.3,-0.08202748408353211,reg,yint,1,0.826,0.09431399324861646,0.08522491135736006,0.08571084911326125,1.3,0.6890000000000001,0.675,NA,-0.10214308295661712,0.12543476380662222,0.09492037065104232,-0.8641715526490242,-0.8494406348197805,-0.09121810920121776,-0.08029908269702177,-0.09849141527439609,0.689,0.675,2000,italic(N) == 100,\beta_{xm} == 0.3,corr[XM] == 0.3,rho == 0.7
100,0.3,0.7,0.3,-0.08202748408353211,tspa,yint,1,0.9525,0.15539295033125486,0.1929733324688819,0.14287021673375905,7.55,0.5429999999999999,0.5820000000000001,0.02473559496615705,-0.11026668285438201,0.21824103544698026,0.21688895846675255,0.11404727626993909,0.04088494498200483,-0.08058752710982575,0.0067320869604261535,-0.3267498782593946,0.543,0.582,2000,italic(N) == 100,\beta_{xm} == 0.3,corr[XM] == 0.3,rho == 0.7
100,0.3,0.7,0.3,-0.08202748408353211,upi,yint,1,0.8895,0.20863357221191933,1.0221378070730363,0.18009966722690632,7.3999999999999995,0.19499999999999995,0.30400000000000005,0.03548226123588268,1.2304506016414862,0.45952252002030297,0.45826516234916853,0.0774273589857731,-0.08576628355995373,-0.13676564458202212,-0.009012506542179333,-0.5871033272339008,0.195,0.304,2000,italic(N) == 100,\beta_{xm} == 0.3,corr[XM] == 0.3,rho == 0.7
100,0.3,0.8,0.3,-0.053303575297559566,rapi,yint,1,0.968,0.12620727010295799,0.1930006123296502,0.13750688842177883,4.95,0.6435,0.7105,0.015843413185633603,-0.37588534647028793,0.3095674066655718,0.30923903362647465,0.05123354901170278,0.14251182690762956,0.08953222987552767,0.016619856260056354,-0.5469789072921929,0.6435,0.7105,2000,italic(N) == 100,\beta_{xm} == 0.3,corr[XM] == 0.3,rho == 0.8
100,0.3,0.8,0.3,-0.053303575297559566,reg,yint,1,0.877,0.09143708442041654,0.0826944528025343,0.08312618427908218,0.7000000000000001,0.796,0.787,NA,-0.11892475135495695,0.1079160300656425,0.0938562885856861,-0.5679275848298225,-0.5663416234850784,-0.09089200726394397,-0.05205925513500237,-0.11634713706136357,0.796,0.787,2000,italic(N) == 100,\beta_{xm} == 0.3,corr[XM] == 0.3,rho == 0.8
100,0.3,0.8,0.3,-0.053303575297559566,tspa,yint,1,0.942,0.1212141908569344,0.12414969792780675,0.11833486469465233,3.65,0.733,0.7535000000000001,0.0072325980236915815,-0.06498955237581594,0.13294262961956174,0.13277894192868656,0.05447097196764902,0.03851245507881174,-0.0237540352488963,0.001984140665732159,-0.10378099198998325,0.733,0.7535,2000,italic(N) == 100,\beta_{xm} == 0.3,corr[XM] == 0.3,rho == 0.8
100,0.3,0.8,0.3,-0.053303575297559566,upi,yint,1,0.9235,0.14580132287436365,0.15782613079119515,0.1380601132665799,5.6000000000000005,0.5815,0.648,0.018333901708776683,-0.07724491210148021,0.17197523779205703,0.17103794155243077,0.10719201565669294,0.005950567194723248,-0.053094234367505044,0.002018713707211961,-0.17404139447831746,0.5815,0.648,2000,italic(N) == 100,\beta_{xm} == 0.3,corr[XM] == 0.3,rho == 0.8
100,0.3,0.9,0.3,-0.022186189450712348,rapi,yint,1,0.961,0.10114753964351961,0.1091909359663079,0.10683027647523986,2.5,0.8455,0.8694999999999999,0.007117065731869532,0.05150508490563044,0.1040602209600201,0.10384251824717279,0.06853710649552079,0.07814558757244211,0.05618265013413337,0.006861332718412716,0.03251042603563192,0.8455,0.8695,2000,italic(N) == 100,\beta_{xm} == 0.3,corr[XM] == 0.3,rho == 0.9
100,0.3,0.9,0.3,-0.022186189450712348,reg,yint,1,0.9005,0.09219498423685084,0.0797370856194857,0.08001284571208664,0.8999999999999999,0.8895,0.8825000000000001,NA,-0.12550532200963627,0.09381897597185965,0.09118075572824051,-0.24332096475310103,-0.21154320016017553,-0.1321345041230012,-0.02044759124720269,-0.12343175278186991,0.8895,0.8825,2000,italic(N) == 100,\beta_{xm} == 0.3,corr[XM] == 0.3,rho == 0.9
100,0.3,0.9,0.3,-0.022186189450712348,tspa,yint,1,0.9465,0.09900807782364064,0.10079088591519103,0.09960896111315734,1.35,0.8565,0.8654999999999999,5.061175276779243e-4,-0.0064922731984768944,0.10142542117115182,0.10144952394046797,0.004988860548768337,-6.073696508849474e-4,0.006069032979177935,6.041901571207653e-4,-0.01741844841358753,0.8565,0.8655,2000,italic(N) == 100,\beta_{xm} == 0.3,corr[XM] == 0.3,rho == 0.9
100,0.3,0.9,0.3,-0.022186189450712348,upi,yint,1,0.947,0.10714580961252256,0.10920651178812754,0.10485719520340425,2.9499999999999997,0.8365,0.8545,0.0025713684036182526,-0.03984137303983737,0.1137386214773332,0.11373798945479721,0.022607823612357813,-0.03918233569740897,-0.02135981255258368,-0.001609591184870529,-0.06755064442790615,0.8365,0.8545,2000,italic(N) == 100,\beta_{xm} == 0.3,corr[XM] == 0.3,rho == 0.9
100,0.6,0.7,0.3,-0.04900877610227701,rapi,yint,1,0.9665,0.14738579779008973,0.38779607687648404,0.16578584828273196,8.7,0.41600000000000004,0.5349999999999999,0.05786729681855704,0.08379656876431096,0.36237338698756244,0.35781260806041226,0.1617251475073424,0.24087080183583198,0.1248427648289967,0.035596734094432536,-0.5123892744794669,0.416,0.535,2000,italic(N) == 100,\beta_{xm} == 0.3,corr[XM] == 0.6,rho == 0.7
100,0.6,0.7,0.3,-0.04900877610227701,reg,yint,1,0.8755,0.09642791152842857,0.0809582006795024,0.08135409552144143,0.6,0.8065,0.7985,NA,-0.14354134353494874,0.10645509540037777,0.09452668855452918,-0.5184649631940246,-0.48308215798149856,-0.1563221246634915,-0.04834236517821733,-0.14073984919077343,0.8065,0.7985,2000,italic(N) == 100,\beta_{xm} == 0.3,corr[XM] == 0.6,rho == 0.7
100,0.6,0.7,0.3,-0.04900877610227701,tspa,yint,1,0.95,0.13308519226914017,0.1520765419573701,0.12697669164000724,7.5,0.6799999999999999,0.714,0.03036766601887311,-0.11463762629960295,0.17438904952960824,0.1717675682576863,0.17679510938476703,0.07199164692255608,-0.045899175745860665,0.013346769838830319,-0.24565001532191566,0.68,0.714,2000,italic(N) == 100,\beta_{xm} == 0.3,corr[XM] == 0.6,rho == 0.7
100,0.6,0.7,0.3,-0.04900877610227701,upi,yint,1,0.912,0.17359442844446152,0.2837743284274005,0.1646466374134088,6.800000000000001,0.3245,0.4555,0.043145459653240396,0.08654360571261255,0.2646469881349887,0.261171596736135,0.16519966256832597,0.019584582863580235,-0.05154422933519098,0.008996020400449278,-0.3326755982264368,0.3245,0.4555,2000,italic(N) == 100,\beta_{xm} == 0.3,corr[XM] == 0.6,rho == 0.7
100,0.6,0.8,0.3,-0.01864283082160396,rapi,yint,1,0.963,0.11161282625793562,0.13095199194774942,0.12050826339285657,4.25,0.792,0.847,0.01959040941759283,0.0947975681656219,0.12117711754451922,0.11961297298747643,0.16378164448469945,0.12753329997233412,0.07969905819214484,0.015184882903009178,0.02023685200439762,0.792,0.847,2000,italic(N) == 100,\beta_{xm} == 0.3,corr[XM] == 0.6,rho == 0.8
100,0.6,0.8,0.3,-0.01864283082160396,reg,yint,1,0.8885,0.09011072600428846,0.07798842102244195,0.07805077991480383,0.95,0.891,0.884,NA,-0.1683986412997185,0.09559307935503267,0.09378101683759978,-0.1987910928059958,-0.16789615579309777,-0.133834745587453,-0.016679028610278035,-0.1676262150458233,0.891,0.884,2000,italic(N) == 100,\beta_{xm} == 0.3,corr[XM] == 0.6,rho == 0.8
100,0.6,0.8,0.3,-0.01864283082160396,tspa,yint,1,0.941,0.10656614811977098,0.10762585705425932,0.10352187362858069,3.3000000000000003,0.848,0.865,0.007357465529807435,-0.044819664237400914,0.11288779970644797,0.11267595554962168,0.06529756498552393,0.04956643323249843,-0.028566993786514616,0.0046637472924422885,-0.07593446585230501,0.848,0.865,2000,italic(N) == 100,\beta_{xm} == 0.3,corr[XM] == 0.6,rho == 0.8
100,0.6,0.8,0.3,-0.01864283082160396,upi,yint,1,0.931,0.12977582126761697,0.13918777611122624,0.12273174819758728,5.35,0.7444999999999999,0.794,0.01940140223296431,-0.08414493622137764,0.1531714724003956,0.1519757673631974,0.1276611565750356,0.0333012384036958,-0.054278778598547794,0.006616729681156175,-0.17954368859441938,0.7445,0.794,2000,italic(N) == 100,\beta_{xm} == 0.3,corr[XM] == 0.6,rho == 0.8
100,0.6,0.9,0.3,0.011424256378218861,rapi,yint,1,0.9605,0.09022158313877827,0.09662515838132676,0.09451886358779349,1.55,0.9265,0.9365,0.006636018981357149,0.040886367358949016,0.09304342718230181,0.09282968959089619,0.07148595466172843,0.052709133712944646,0.047630293101875276,0.00532165103792831,0.02425807915983924,0.9265,0.9365,2000,italic(N) == 100,\beta_{xm} == 0.3,corr[XM] == 0.6,rho == 0.9
100,0.6,0.9,0.3,0.011424256378218861,reg,yint,1,0.885,0.08797693800635888,0.07514420605601053,0.07512287542797465,0.7000000000000001,0.944,0.9410000000000001,NA,-0.16101521962212229,0.09026907506931874,0.08956563672366699,0.12755177985800106,0.20013006419908833,-0.14610718296941805,0.013764141726668289,-0.16068349481618183,0.944,0.941,2000,italic(N) == 100,\beta_{xm} == 0.3,corr[XM] == 0.6,rho == 0.9
100,0.6,0.9,0.3,0.011424256378218861,tspa,yint,1,0.943,0.08711079629660329,0.08939119854317559,0.08819608665229678,1.4000000000000001,0.9335,0.9365,0.002614460124088431,-0.02370435921296521,0.09157604303397138,0.09156160778420912,0.02855410894760786,0.007249048739443485,0.012458735332853355,0.0013589274088894876,-0.03437102558452643,0.9335,0.9365,2000,italic(N) == 100,\beta_{xm} == 0.3,corr[XM] == 0.6,rho == 0.9
100,0.6,0.9,0.3,0.011424256378218861,upi,yint,1,0.9435,0.097938144196025,0.0969433923127661,0.09387941854455426,2.1999999999999997,0.92,0.9305,0.003216404433435768,-0.02790695066934279,0.09975338645261385,0.0997264535319096,0.03225226927784648,-0.006961647056817048,-0.04144172512955868,1.6681600523282825e-4,-0.05007913990575652,0.92,0.9305,2000,italic(N) == 100,\beta_{xm} == 0.3,corr[XM] == 0.6,rho == 0.9
