N,cor_xm,rel,gamma_xm,method,coverage_std,coverage_usd,outlier_se,power_lrt,power_std,power_usd,raw_bias,raw_rse_bias,rmse,std_bias,stdMed_bias,stdMed_rse_bias,trim_bias,trim_rse_bias,type1_lrt,type1_std,type1_usd,N_lab,gammaint_lab,cor_xm_lab,rel_lab
100,0,0.7,0.3,mmr,0.801,0,1.05,0.5905,0.6065,0.5905,-0.09640986805366734,-0.11671572115863693,0.13892914681995727,-0.963547164098382,-0.9767862317691717,-0.10063776892780352,-0.09733947183601865,-0.11281820437571344,0.5905,0.6065,0.5905,italic(N) == 100,\beta_{xm} == 0.3,corr[XM] == 0,rho == 0.7
100,0,0.7,0.3,rapi,0.963,0.9825,10.549999999999999,0.3095,0.20199999999999996,0.3095,0.10265198614371285,-0.10248785517799985,0.6555136245561071,0.1585143144845494,0.1475957961743371,0.06218009094961352,0.03762541363976829,-0.663196882931639,0.3095,0.202,0.3095,italic(N) == 100,\beta_{xm} == 0.3,corr[XM] == 0,rho == 0.7
100,0,0.7,0.3,tspa,0.9375,0.9295,7.3999999999999995,0.476,0.4445,0.476,0.026582982519400243,-0.1883134623927536,0.261704695524707,0.10207883295632676,-0.0326532584120393,-0.0766974186395003,-0.0013460065993099457,-0.3925521762741372,0.476,0.4445,0.476,italic(N) == 100,\beta_{xm} == 0.3,corr[XM] == 0,rho == 0.7
100,0,0.7,0.3,upi,0.863,0.8555,8.55,0.23299999999999998,0.14700000000000002,0.23299999999999998,0.04428155716713402,8.041259504511787,0.5962438340955928,0.07445457856960509,-0.15408086486378747,-0.13373088642766362,-0.025889687156370855,-0.6733953136326132,0.233,0.147,0.233,italic(N) == 100,\beta_{xm} == 0.3,corr[XM] == 0,rho == 0.7
100,0,0.8,0.3,mmr,0.875,0,0.75,0.7110000000000001,0.7284999999999999,0.7110000000000001,-0.06794385117716123,-0.07512219267314268,0.11535390144872577,-0.7286647843694,-0.7138865135028822,-0.08442626768808525,-0.06767616506318525,-0.07126438687992831,0.711,0.7285,0.711,italic(N) == 100,\beta_{xm} == 0.3,corr[XM] == 0,rho == 0.8
100,0,0.8,0.3,rapi,0.9645,0.953,5.050000000000001,0.6225,0.5415,0.6225,0.023496272045287883,0.08140108687679604,0.15493243553247965,0.15339124036981516,0.05300926931455721,0.04901200809848927,0.013756770925791473,-0.020542490786252587,0.6225,0.5415,0.6225,italic(N) == 100,\beta_{xm} == 0.3,corr[XM] == 0,rho == 0.8
100,0,0.8,0.3,tspa,0.9425,0.9345,3.6999999999999997,0.6715,0.651,0.6715,0.0040292371605504616,-0.028139898700806576,0.1373317153700845,0.029344748163168774,-0.043161080785517746,-0.03225656762080453,-0.00251029332096403,-0.07084775993115855,0.6715,0.651,0.6715,italic(N) == 100,\beta_{xm} == 0.3,corr[XM] == 0,rho == 0.8
100,0,0.8,0.3,upi,0.9125,0.898,5.55,0.5549999999999999,0.48650000000000004,0.5549999999999999,0.020051843753030582,0.07396792838470967,0.22907748525362087,0.08784832787670455,-0.013585888297894168,-0.0883406840670743,-0.0011639280924471418,-0.3395587387321881,0.555,0.4865,0.555,italic(N) == 100,\beta_{xm} == 0.3,corr[XM] == 0,rho == 0.8
100,0,0.9,0.3,mmr,0.913,0,1.05,0.832,0.8465,0.832,-0.03478862703560317,-0.08853777975094557,0.09784877279132584,-0.38029288801689415,-0.36703453054942226,-0.1004184889540346,-0.03426940231505177,-0.08569023135998599,0.832,0.8465,0.832,italic(N) == 100,\beta_{xm} == 0.3,corr[XM] == 0,rho == 0.9
100,0,0.9,0.3,rapi,0.961,0.899,2.25,0.8225,0.793,0.8225,0.006906615997937577,0.04674115541038648,0.11158413337762393,0.06199944180184198,0.04014875014688074,0.05108716567591154,0.004006953055452456,0.026982028323267127,0.8225,0.793,0.8225,italic(N) == 100,\beta_{xm} == 0.3,corr[XM] == 0,rho == 0.9
100,0,0.9,0.3,tspa,0.9505,0.932,2.1,0.829,0.8160000000000001,0.829,8.163893954940092e-7,-0.00889512960144978,0.10873558331548767,7.50614700122952e-6,-0.02940590001568459,0.012602104738703712,-0.0023287027511634806,-0.02135833449737279,0.829,0.816,0.829,italic(N) == 100,\beta_{xm} == 0.3,corr[XM] == 0,rho == 0.9
100,0,0.9,0.3,upi,0.941,0.9295,3.15,0.8015,0.784,0.8015,0.004001824661249356,-0.033692083020598895,0.12132237312279785,0.03299475793357725,-0.04618525252662238,-0.025382417203771435,-0.0018533122569209248,-0.06490381789759614,0.8015,0.784,0.8015,italic(N) == 100,\beta_{xm} == 0.3,corr[XM] == 0,rho == 0.9
100,0.3,0.7,0.3,mmr,0.8315,0,0.75,0.6685,0.6835,0.6685,-0.0822989864727258,-0.10728426472926733,0.12608723534215355,-0.8613359954197198,-0.867413304243855,-0.08237675841944125,-0.08040876113535567,-0.1035316549981945,0.6685,0.6835,0.6685,italic(N) == 100,\beta_{xm} == 0.3,corr[XM] == 0.3,rho == 0.7
100,0.3,0.7,0.3,rapi,0.9715,0.9875,9.25,0.389,0.2925,0.389,0.08443407937900485,0.07780730207994546,0.43876461122460425,0.1960521274602476,0.15358864330627892,0.05362164607465769,0.03791869102027223,-0.5315330830672077,0.389,0.2925,0.389,italic(N) == 100,\beta_{xm} == 0.3,corr[XM] == 0.3,rho == 0.7
100,0.3,0.7,0.3,tspa,0.95,0.9395,6.7,0.565,0.529,0.565,0.02640211457919883,-0.016683830536079247,0.28001856202016034,0.09468525860935981,-0.024939154848905076,-0.06889021550560159,0.004043086751604585,-0.47288192331769385,0.565,0.529,0.565,italic(N) == 100,\beta_{xm} == 0.3,corr[XM] == 0.3,rho == 0.7
100,0.3,0.7,0.3,upi,0.8725,0.867,7.85,0.3045,0.21099999999999997,0.3045,0.024958050438140807,0.3537406603696265,0.3859353618156223,0.0647884388305269,-0.11176480800433522,-0.15596757527252592,-0.015411688904336918,-0.5116496248313293,0.3045,0.211,0.3045,italic(N) == 100,\beta_{xm} == 0.3,corr[XM] == 0.3,rho == 0.7
100,0.3,0.8,0.3,mmr,0.8775,0,1,0.787,0.7985,0.787,-0.05447668058689605,-0.09869521420042127,0.10684014163893354,-0.5925814262535863,-0.5580409779752958,-0.05868023756505891,-0.05149620954602502,-0.09715943942413696,0.787,0.7985,0.787,italic(N) == 100,\beta_{xm} == 0.3,corr[XM] == 0.3,rho == 0.8
