N,cor_xm,rel,gamma_xm,raw_bias.reg_yint_est,method,par,convergence_rate,coverage,MAD,MeanSE,MedianSE,outlier_se,power,power_lrt,raw_bias,raw_rse_bias,rmse,SD,std_bias,stdMed_bias,stdMed_rse_bias,trim_bias,trim_rse_bias,type1,type1_lrt,REPLICATIONS,N_lab,gammaint_lab,cor_xm_lab,rel_lab
100,0,0.7,0,1.3342161515336796e-4,rapi,yint,1,0.9915,0.17084913370247387,0.6241593787047012,0.1697391712738619,9.8,0.008499999999999952,0.01849999999999996,-0.015165095723277493,0.6563174403643899,0.3770464799668561,0.37683560137324046,-0.04024326700559557,-0.020650250046777743,-0.006496740162258763,-4.0544062199302536e-4,-0.5312447277965495,0.0085,0.0185,2000,italic(N) == 100,\beta_{xm} == 0,Correlation_XM == 0,Reliability == 0.7
100,0,0.7,0,1.3342161515336796e-4,reg,yint,1,0.9265,0.09828168135345307,0.0933671682614515,0.09347976948861511,1.25,0.07350000000000001,0.0665,NA,-0.04648230065378045,0.09789426070428257,0.0979186525068898,0.001362576094927165,-0.02820156526338096,-0.04885866622050061,-5.46919561779648e-4,-0.045328557729058194,0.0735,0.0665,2000,italic(N) == 100,\beta_{xm} == 0,Correlation_XM == 0,Reliability == 0.7
100,0,0.7,0,1.3342161515336796e-4,tspa,yint,1,0.9605,0.14406033890317704,0.17841951933528366,0.14630321288395248,6.9,0.03949999999999998,0.045499999999999985,-0.0025919368228661346,-0.0758390704431735,0.19303022443087403,0.19306109318086323,-0.013425474704206507,0.00706646760695033,0.015568990034674712,4.6958296634865774e-4,-0.22527880341567197,0.0395,0.0455,2000,italic(N) == 100,\beta_{xm} == 0,Correlation_XM == 0,Reliability == 0.7
100,0,0.7,0,1.3342161515336796e-4,upi,yint,1,0.9935,0.1476171028422895,1.9713971146371707,0.15019599224336516,8,0.00649999999999995,0.016000000000000014,0.005399225951869596,2.766017417508964,0.5233669608943182,0.5234699939176471,0.010314298841585575,-0.043762853026251054,0.017470126099351058,-0.004388355481609946,-0.704979507298908,0.0065,0.016,2000,italic(N) == 100,\beta_{xm} == 0,Correlation_XM == 0,Reliability == 0.7
100,0,0.8,0,0.0023071589850591667,rapi,yint,1,0.975,0.1288482975429868,0.23160760850186102,0.13007180337018132,5.3,0.025000000000000022,0.03400000000000003,0.00516950460819247,-0.2890549748497927,0.32573385647831465,0.3257742867712273,0.015868362906808292,0.03216954462873178,0.00949570813526912,0.0036205289269245363,-0.5954038265361459,0.025,0.034,2000,italic(N) == 100,\beta_{xm} == 0,Correlation_XM == 0,Reliability == 0.8
100,0,0.8,0,0.0023071589850591667,reg,yint,1,0.941,0.09322438072018241,0.09234109958767708,0.09258489419840385,1.35,0.05900000000000005,0.05349999999999999,NA,-0.013979899290083364,0.09365532839563989,0.09365032165286809,0.0246358895980205,0.012863449513495072,-0.006859648911994531,0.0022329600490325154,-0.0122506005024684,0.059,0.0535,2000,italic(N) == 100,\beta_{xm} == 0,Correlation_XM == 0,Reliability == 0.8
100,0,0.8,0,0.0023071589850591667,tspa,yint,1,0.9565,0.12517089926604572,0.1295812528224826,0.12219049403743446,4,0.04349999999999998,0.05049999999999999,0.004789344615688875,-0.0703546583850293,0.13943526198301825,0.13938783643811448,0.03435984615354333,0.011422367362366952,-0.023810687996069557,0.0036362131899587897,-0.11613101527274106,0.0435,0.0505,2000,italic(N) == 100,\beta_{xm} == 0,Correlation_XM == 0,Reliability == 0.8
100,0,0.8,0,0.0023071589850591667,upi,yint,1,0.975,0.12876165331329273,0.14734920194167986,0.12801236213693246,4.1000000000000005,0.025000000000000022,0.04049999999999998,0.006109480332325173,-0.14537756363311893,0.17247951360276845,0.1724143851969085,0.035434864239128,0.025623822355646975,-0.005819210588552726,0.00363225521656432,-0.2433029324904845,0.025,0.0405,2000,italic(N) == 100,\beta_{xm} == 0,Correlation_XM == 0,Reliability == 0.8
100,0,0.9,0,5.21591994068319e-4,rapi,yint,1,0.9495,0.11136068825485528,0.11009806896163828,0.10780907743250703,1.7000000000000002,0.05049999999999999,0.0595,1.0111706349706286e-4,-0.028068433847485363,0.11324931580717752,0.1132775936041178,8.92648407154962e-4,-0.002698999479191496,-0.03189285984134882,0.001444439274990122,-0.04521288550884439,0.0505,0.0595,2000,italic(N) == 100,\beta_{xm} == 0,Correlation_XM == 0,Reliability == 0.9
100,0,0.9,0,5.21591994068319e-4,reg,yint,1,0.934,0.09598063699683905,0.09130465220249423,0.09145350602864484,1.4500000000000002,0.06599999999999995,0.0625,NA,-0.04060374955034107,0.0951464994606613,0.09516886496033386,0.005480699956710813,-0.00737795448148884,-0.04716712776498144,0.0011720503247730192,-0.03942419123513885,0.066,0.0625,2000,italic(N) == 100,\beta_{xm} == 0,Correlation_XM == 0,Reliability == 0.9
100,0,0.9,0,5.21591994068319e-4,tspa,yint,1,0.9475,0.10812014616105523,0.10665637541077203,0.10473929338975635,1.7000000000000002,0.05249999999999999,0.0605,4.438363239643317e-4,-0.03163750126904741,0.11011431598162051,0.11014096017818341,0.004029711773406586,0.009625765003024242,-0.03126940622391294,0.0012555793838983761,-0.045915300142577276,0.0525,0.0605,2000,italic(N) == 100,\beta_{xm} == 0,Correlation_XM == 0,Reliability == 0.9
100,0,0.9,0,5.21591994068319e-4,upi,yint,1,0.951,0.11012619445669311,0.10871554270388883,0.10501078340492741,2.6,0.049000000000000044,0.0595,0.001122132820246973,-0.05567026943476161,0.11510124313947748,0.11512455785842517,0.00974711947755682,0.002082361472190003,-0.046450447843063625,0.00136515525893989,-0.08010714933800278,0.049,0.0595,2000,italic(N) == 100,\beta_{xm} == 0,Correlation_XM == 0,Reliability == 0.9
100,0.3,0.7,0,-0.0027553369047645516,rapi,yint,1,0.9875,0.16320565244743646,0.630776628024901,0.1566971595532147,8.85,0.012499999999999956,0.030000000000000027,-0.02431215508545765,0.1863339089911269,0.5321251792883926,0.5317024349083314,-0.04572511519464681,-0.04842028931699405,-0.03987908994952205,-0.006750164393431056,-0.6951141810435721,0.0125,0.03,2000,italic(N) == 100,\beta_{xm} == 0,Correlation_XM == 0.3,Reliability == 0.7
100,0.3,0.7,0,-0.0027553369047645516,reg,yint,1,0.9225,0.09289253639785369,0.09062361227086342,0.09081044723469418,1,0.07750000000000001,0.07150000000000001,NA,-0.060574281990875,0.09648226521997186,0.09646703356484346,-0.028562471581677303,-0.03388635053694964,-0.02241395534988988,-0.00306366421826201,-0.059034749664793496,0.0775,0.0715,2000,italic(N) == 100,\beta_{xm} == 0,Correlation_XM == 0.3,Reliability == 0.7
100,0.3,0.7,0,-0.0027553369047645516,tspa,yint,1,0.9595,0.14887350767529361,0.3466423113791697,0.135442846297598,6.35,0.04049999999999998,0.049000000000000044,-0.01639262289720585,0.05792458356296981,0.3279905654301039,0.3276625921780906,-0.050028972755901784,-0.03437760337024436,-0.09021525446279588,-0.005784992794754296,-0.575060683847253,0.0405,0.049,2000,italic(N) == 100,\beta_{xm} == 0,Correlation_XM == 0.3,Reliability == 0.7
100,0.3,0.7,0,-0.0027553369047645516,upi,yint,1,0.9885,0.14947234478035915,0.9164032274894248,0.14222189892458542,8.450000000000001,0.011499999999999955,0.02849999999999997,-0.025881245965635045,1.223709891026186,0.4128146345377853,0.41210556790145314,-0.06280246611912807,-0.025713352344589227,-0.04850693863421918,-0.00801935491602544,-0.646031481848705,0.0115,0.0285,2000,italic(N) == 100,\beta_{xm} == 0,Correlation_XM == 0.3,Reliability == 0.7
100,0.3,0.8,0,0.0013567629540273492,rapi,yint,1,0.9735,0.12128603965633145,0.12892799849595465,0.120956987279633,4.95,0.026499999999999968,0.04249999999999998,0.002169998710662011,0.006374931568008613,0.12809764732683118,0.1281112977397748,0.01693838676952446,0.006125382188122285,-0.002713027629814846,0.0020211331983865446,-0.050183195834819116,0.0265,0.0425,2000,italic(N) == 100,\beta_{xm} == 0,Correlation_XM == 0.3,Reliability == 0.8
100,0.3,0.8,0,0.0013567629540273492,reg,yint,1,0.9425,0.09066101981105633,0.08968819964559605,0.08984595867155193,0.95,0.057499999999999996,0.052000000000000046,NA,-0.01225416700468962,0.09078832430694522,0.09080088890238008,0.014942177003200963,0.020105588680333117,-0.008990204844408822,0.0013940980093545734,-0.010751500669738623,0.0575,0.052,2000,italic(N) == 100,\beta_{xm} == 0,Correlation_XM == 0.3,Reliability == 0.8
100,0.3,0.8,0,0.0013567629540273492,tspa,yint,1,0.954,0.11554003180345833,0.11918125787371746,0.11350711521250316,4.1000000000000005,0.04600000000000004,0.05149999999999999,0.001681008892495662,-0.02297559824488038,0.12196499640344831,0.12198391121001799,0.013780578732235373,0.006849662057451015,-0.017594911124945045,0.0018697104531604166,-0.060537306116578926,0.046,0.0515,2000,italic(N) == 100,\beta_{xm} == 0,Correlation_XM == 0.3,Reliability == 0.8
100,0.3,0.8,0,0.0013567629540273492,upi,yint,1,0.9715,0.12243061134741019,0.21027939249800223,0.11598087287779006,4.8,0.02849999999999997,0.04500000000000004,0.0037285478658840463,0.23460979501254875,0.1703187596224474,0.1703205282733602,0.021891359213610587,0.013841232468410894,-0.052680766669687684,6.109322914812686e-4,-0.3036888260119517,0.0285,0.045,2000,italic(N) == 100,\beta_{xm} == 0,Correlation_XM == 0.3,Reliability == 0.8
100,0.3,0.9,0,0.0025820316665873173,rapi,yint,1,0.9525,0.09913824150497985,0.10162128630810797,0.0994338492212039,1.8499999999999999,0.04749999999999999,0.06000000000000005,0.0023551229582945885,-0.02676878898756818,0.10441684245551378,0.10441638652586316,0.02255510879713542,0.020670214369757425,0.0029817728430172608,0.002662572544638042,-0.04263251247755606,0.0475,0.06,2000,italic(N) == 100,\beta_{xm} == 0,Correlation_XM == 0.3,Reliability == 0.9
100,0.3,0.9,0,0.0025820316665873173,reg,yint,1,0.9325,0.09223805277483584,0.0884744991936575,0.08862610545908137,0.8999999999999999,0.0675,0.061000000000000054,NA,-0.03484222507702672,0.09168187735686681,0.09166843130981193,0.028167075946361742,0.019311959535755503,-0.03915897188952666,0.0022582827723888342,-0.03380126692671204,0.0675,0.061,2000,italic(N) == 100,\beta_{xm} == 0,Correlation_XM == 0.3,Reliability == 0.9
100,0.3,0.9,0,0.0025820316665873173,tspa,yint,1,0.9475,0.09839419166404857,0.09872039081223663,0.09685831381005086,1.7500000000000002,0.05249999999999999,0.05700000000000005,0.0023343526021945564,-0.030184878157926254,0.10179431795382743,0.10179300011813222,0.022932348977685174,0.023116366594010156,-0.015609436167144164,0.0027601482936189287,-0.043304732646193056,0.0525,0.057,2000,italic(N) == 100,\beta_{xm} == 0,Correlation_XM == 0.3,Reliability == 0.9
100,0.3,0.9,0,0.0025820316665873173,upi,yint,1,0.948,0.09914482409228173,0.10030849914835685,0.0975711929158738,2.6,0.052000000000000046,0.0625,0.0023049372403463214,-0.05959482657010129,0.106663430295096,0.10666519281524797,0.021609085208692622,0.008573125571198657,-0.015872045674751867,0.003130231872905965,-0.08206726526365693,0.052,0.0625,2000,italic(N) == 100,\beta_{xm} == 0,Correlation_XM == 0.3,Reliability == 0.9
100,0.6,0.7,0,-0.0028644155809178624,rapi,yint,1,0.985,0.12699258338933225,0.3089064693620451,0.12872144101889374,8.95,0.015000000000000013,0.027000000000000024,-0.008526119935689512,-0.4822434594900329,0.5965367074474762,0.5966249485864263,-0.014290585661713122,-0.006283143577773787,0.013613847229654086,-0.0021726517340153223,-0.7788181193268363,0.015,0.027,2000,italic(N) == 100,\beta_{xm} == 0,Correlation_XM == 0.6,Reliability == 0.7
100,0.6,0.7,0,-0.0028644155809178624,reg,yint,1,0.936,0.09018259242434826,0.08779842857539225,0.08797974800719477,0.75,0.06399999999999995,0.05900000000000005,NA,-0.023090041492457636,0.0898967894104551,0.08987361405295204,-0.03187159669833903,-0.006343501198576738,-0.024426492496336216,-0.001772929096940028,-0.021547454209434824,0.064,0.059,2000,italic(N) == 100,\beta_{xm} == 0,Correlation_XM == 0.6,Reliability == 0.7
100,0.6,0.7,0,-0.0028644155809178624,tspa,yint,1,0.963,0.1176278627140419,0.2752063508137375,0.11542444210503719,6,0.03700000000000003,0.04949999999999999,-0.009025274408226048,0.02795480061250455,0.2678074122013832,0.2677222292748246,-0.03371133742862026,-0.028849971255561744,-0.018732131640964322,-0.0031269624736295,-0.5602498581569602,0.037,0.0495,2000,italic(N) == 100,\beta_{xm} == 0,Correlation_XM == 0.6,Reliability == 0.7
100,0.6,0.7,0,-0.0028644155809178624,upi,yint,1,0.989,0.12332891204677775,0.649585609839722,0.11932514068987021,7.1499999999999995,0.01100000000000001,0.025000000000000022,-0.0023182797906110765,0.9879097437935578,0.3266946836078125,0.3267681603089827,-0.0070945706228506995,-0.03650955336389422,-0.032464174786435596,-0.0038707160556711857,-0.6227482343615143,0.011,0.025,2000,italic(N) == 100,\beta_{xm} == 0,Correlation_XM == 0.6,Reliability == 0.7
100,0.6,0.8,0,4.618099039666354e-4,rapi,yint,1,0.976,0.09841844017662393,0.10582408464420195,0.1001316366062235,3.1,0.02400000000000002,0.04249999999999998,-0.0012007205755307107,0.006160481174186883,0.10515670700673714,0.10517614895856921,-0.011416281993778803,-0.011827091064980342,0.0174072706956645,-0.0013019268446743254,-0.036668554751873694,0.024,0.0425,2000,italic(N) == 100,\beta_{xm} == 0,Correlation_XM == 0.6,Reliability == 0.8
100,0.6,0.8,0,4.618099039666354e-4,reg,yint,1,0.9395,0.08929369839410976,0.08654244253070156,0.08685193994873647,0.65,0.0605,0.055499999999999994,NA,-0.0036628905998936645,0.08684011349827911,0.08686060341846415,0.005316678514674784,-0.007299940390610562,-0.027345249320912535,1.0563087725612485e-5,-0.002317643334245112,0.0605,0.0555,2000,italic(N) == 100,\beta_{xm} == 0,Correlation_XM == 0.6,Reliability == 0.8
100,0.6,0.8,0,4.618099039666354e-4,tspa,yint,1,0.9545,0.09478252582225831,0.09936703551422671,0.0955601231634866,2.3,0.045499999999999985,0.05149999999999999,-8.840142444558062e-4,-0.014918897519163643,0.10085058694182611,0.10087193355347082,-0.008763728554754057,-0.010410832233118766,0.008204015819186727,-0.0011163190179364645,-0.04165407392134679,0.0455,0.0515,2000,italic(N) == 100,\beta_{xm} == 0,Correlation_XM == 0.6,Reliability == 0.8
100,0.6,0.8,0,4.618099039666354e-4,upi,yint,1,0.976,0.10151683191119706,0.10745609094270077,0.09686685485928109,3.5000000000000004,0.02400000000000002,0.040000000000000036,-1.6291668576422737e-4,-0.06682789778170917,0.11512274196627166,0.11515141814383588,-0.0014148039893067386,0.020210742711020992,-0.0458049858764662,1.7405965828961787e-5,-0.13018979013475807,0.024,0.04,2000,italic(N) == 100,\beta_{xm} == 0,Correlation_XM == 0.6,Reliability == 0.8
100,0.6,0.9,0,0.0014949157494087628,rapi,yint,1,0.9645,0.08336805408201921,0.08634760272002351,0.08504374984745713,1.4500000000000002,0.035499999999999976,0.04700000000000004,0.0012393101688406803,0.016921900942906465,0.08489856697531478,0.0849107513959141,0.0145954446105669,0.01163104707096884,0.020099974551275324,0.0012622544230520589,0.00488999811669566,0.0355,0.047,2000,italic(N) == 100,\beta_{xm} == 0,Correlation_XM == 0.6,Reliability == 0.9
