N,cor_xm,rel,gamma_xm,method,coverage_std,coverage_usd,outlier_se,power_lrt,power_std,power_usd,raw_bias,raw_rse_bias,rmse,std_bias,stdMed_bias,stdMed_rse_bias,trim_bias,trim_rse_bias,type1_lrt,type1_std,type1_usd,N_lab,gammaint_lab,cor_xm_lab,rel_lab
100,0,0.7,0,mmr,0.9295,0.9365,1.55,0.0635,0.07050000000000001,0.0635,0.0010541786150123028,-0.042990385590471636,0.09756079292849795,0.010803280051391702,0.026130548451549572,-0.03970422369279425,8.051349799176992e-4,-0.041994302887189416,0.0635,0.0705,0.0635,italic(N) == 100,\beta_{xm} == 0,corr[XM] == 0,rho == 0.7
100,0,0.7,0,rapi,0.993,0.982,9.5,0.018000000000000016,0.007000000000000006,0.018000000000000016,-0.0012529973895122136,-0.48145458154477716,0.7546701663576868,-0.0016599116852219426,-0.006358905640965568,-0.0102672355318143,0.0016853391841926768,-0.7637648630021928,0.018,0.007,0.018,italic(N) == 100,\beta_{xm} == 0,corr[XM] == 0,rho == 0.7
100,0,0.7,0,tspa,0.9635,0.9545,6.8500000000000005,0.045499999999999985,0.03649999999999998,0.045499999999999985,7.966649402968381e-4,-0.17185319626252848,0.24273907725674712,0.003281177665004514,0.0011634753735364227,-0.04087250809986043,1.460250010017401e-4,-0.383606692871335,0.0455,0.0365,0.0455,italic(N) == 100,\beta_{xm} == 0,corr[XM] == 0,rho == 0.7
100,0,0.7,0,upi,0.9935,0.9815,8.95,0.01849999999999996,0.00649999999999995,0.01849999999999996,-0.008822448202585986,2.9793567500953455,0.5110794776584239,-0.017260635899403215,-3.937972839075405e-4,0.002878910483193664,5.829052614443722e-4,-0.7004212725717778,0.0185,0.0065,0.0185,italic(N) == 100,\beta_{xm} == 0,corr[XM] == 0,rho == 0.7
100,0,0.8,0,mmr,0.938,0.947,0.75,0.05300000000000005,0.062000000000000055,0.05300000000000005,-2.4553560851713177e-4,-0.005673662246365119,0.09301221396911562,-0.002639170295835755,-0.002669941627751728,0.022450439479322792,6.893463674752857e-5,-0.004485552572615847,0.053,0.062,0.053,italic(N) == 100,\beta_{xm} == 0,corr[XM] == 0,rho == 0.8
100,0,0.8,0,rapi,0.979,0.964,4.45,0.03600000000000003,0.02100000000000002,0.03600000000000003,8.742654616576874e-4,-0.007176900476245751,0.14381368761486535,0.006077745683270432,-0.0014519417211842987,0.036212115554005164,-2.5326688451680034e-5,-0.07595325904109751,0.036,0.021,0.036,italic(N) == 100,\beta_{xm} == 0,corr[XM] == 0,rho == 0.8
100,0,0.8,0,tspa,0.9545,0.9505,3.25,0.04949999999999999,0.045499999999999985,0.04949999999999999,0.0021018147227312494,-0.03459710838785701,0.13397481970420475,0.01568614040875238,0.0035345659407748807,0.012772645184827791,0.0018437248385440787,-0.07289484214327002,0.0495,0.0455,0.0495,italic(N) == 100,\beta_{xm} == 0,corr[XM] == 0,rho == 0.8
100,0,0.8,0,upi,0.9745,0.9625,3.85,0.03749999999999998,0.025499999999999967,0.03749999999999998,0.0014059257780036128,0.07941719663018909,0.16266034975635937,0.008641483685413898,0.02065157107510128,-0.01780987225051811,0.003562217233391369,-0.2007568112112188,0.0375,0.0255,0.0375,italic(N) == 100,\beta_{xm} == 0,corr[XM] == 0,rho == 0.8
100,0,0.9,0,mmr,0.9435,0.9475,0.75,0.05249999999999999,0.056499999999999995,0.05249999999999999,7.766368158521704e-4,-0.0022836298319232062,0.09169481027882942,0.008467987245395698,0.013613121618543455,-5.365646583654904e-4,9.862293537399058e-4,-2.7149940227388925e-4,0.0525,0.0565,0.0525,italic(N) == 100,\beta_{xm} == 0,corr[XM] == 0,rho == 0.9
100,0,0.9,0,rapi,0.9595,0.9525,2.65,0.04749999999999999,0.04049999999999998,0.04749999999999999,9.515117633005682e-4,0.011613718131899597,0.10840112266554296,0.008775836275177243,0.014162349865900871,0.020693387934278107,7.986930845501956e-4,-0.004044600911668916,0.0475,0.0405,0.0475,italic(N) == 100,\beta_{xm} == 0,corr[XM] == 0,rho == 0.9
100,0,0.9,0,tspa,0.952,0.9465,2.1999999999999997,0.05349999999999999,0.04800000000000004,0.05349999999999999,0.001563567449985904,0.004477639173444903,0.10587220944742676,0.014766358566099029,0.023871565282164598,0.04156471866110989,0.0015038550860047987,-0.008344505184472939,0.0535,0.048,0.0535,italic(N) == 100,\beta_{xm} == 0,corr[XM] == 0,rho == 0.9
100,0,0.9,0,upi,0.9535,0.9465,2.9499999999999997,0.05349999999999999,0.046499999999999986,0.05349999999999999,0.002801582215651423,-0.019882357150119434,0.1105105530981547,0.02535307382518309,0.02626342501880572,-0.005433614230760497,0.0025563932442679823,-0.04387867152347924,0.0535,0.0465,0.0535,italic(N) == 100,\beta_{xm} == 0,corr[XM] == 0,rho == 0.9
100,0.3,0.7,0,mmr,0.938,0.9435,0.4,0.056499999999999995,0.062000000000000055,0.056499999999999995,0.0025884369787432487,-0.01386134163960362,0.09197529190630066,0.028146854735634483,0.07248956763626714,-0.02272901748205769,0.003644358021306618,-0.012901755318148744,0.0565,0.062,0.0565,italic(N) == 100,\beta_{xm} == 0,corr[XM] == 0.3,rho == 0.7
100,0.3,0.7,0,rapi,0.9885,0.9795,8.55,0.020499999999999963,0.011499999999999955,0.020499999999999963,-0.0046862629345116634,-0.45642507382887354,0.8250053981737047,-0.005678952911256269,0.040430885987927614,0.012147630595991776,0.005808780661363896,-0.8060390846202125,0.0205,0.0115,0.0205,italic(N) == 100,\beta_{xm} == 0,corr[XM] == 0.3,rho == 0.7
